2026-06-29 09:46:07 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:46:07 | INFO     | logger:80 | ============================================================
2026-06-29 09:46:07 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:46:07 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:46:07 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:46:07 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:46:07 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:46:07 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:46:08 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:46:08 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:46:08 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:46:08 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
2026-06-29 09:46:09 | INFO     | logger:80 | --- 局域网访问地址 (同局域网设备) ---
2026-06-29 09:46:09 | INFO     | logger:80 |   http://10.32.40.161:5000/         (分析看板)
2026-06-29 09:46:09 | INFO     | logger:80 |   http://10.32.40.161:5000/realtime  (实时大屏)
2026-06-29 09:46:09 | INFO     | logger:80 | 日志文件: D:\code_king\Data\Taxi\log\taxi_analysis_20260629.log
2026-06-29 09:47:38 | INFO     | logger:80 | ============================================================
2026-06-29 09:47:38 | INFO     | logger:80 |   模式: Web看板
2026-06-29 09:47:38 | INFO     | logger:80 | ============================================================
2026-06-29 09:47:38 | INFO     | logger:80 | 正在初始化数据...
2026-06-29 09:47:38 | INFO     | logger:80 | 正在初始化 Web 看板数据...
2026-06-29 09:47:38 | INFO     | logger:80 | OD数据加载完成: 8,517 条行程, 10 个字段
2026-06-29 09:47:38 | INFO     | logger:80 | 初始化时序分析器...
2026-06-29 09:47:38 | INFO     | logger:80 | 时序分析器就绪
2026-06-29 09:47:38 | INFO     | logger:80 | 初始化空间分析器...
2026-06-29 09:47:39 | INFO     | logger:80 | 空间分析器就绪
2026-06-29 09:47:39 | INFO     | logger:80 | Web 看板数据初始化完成!
2026-06-29 09:47:39 | INFO     | logger:80 | 本机访问: http://localhost:5000
2026-06-29 09:47:39 | INFO     | logger:80 | 实时大屏: http://localhost:5000/realtime
